index,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,symbol,Average Dilution Earnings,Otherunder Preferred Stock Dividend,Minority Interests,Write Off,Gain On Sale Of Security,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Earnings From Equity Interest Net Of Tax,Other Operating Expenses,Total Other Finance Cost,Earnings From Equity Interest
2023-03-31,0.0,0.09,3875000000.0,,,2513000000.0,1046000000.0,18818000000.0,3875000000.0,2829000000.0,184000000.0,29000000.0,213000000.0,2513000000.0,2513000000.0,20665000000.0,2664000000.0,3468000000.0,3166000000.0,0.73,0.8,2518000000.0,2518000000.0,2513000000.0,2539000000.0,2539000000.0,261000000.0,2800000000.0,-48000000.0,-48000000.0,,,184000000.0,29000000.0,213000000.0,2664000000.0,1847000000.0,771000000.0,1076000000.0,4511000000.0,18818000000.0,23329000000.0,23329000000.0,TSLA,,-5000000.0,-26000000.0,,,,,,,,,
2022-12-31,,,,-34000000.0,-34000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,-34000000.0,34000000.0,,,,,,,,,,,,TSLA,0.0,,,,,,,,,,,
2022-09-30,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,TSLA,0.0,0.0,,,,,,,,,,
2024-03-31,-33660000.0,0.18,33741000000.0,-187000000.0,-187000000.0,21939000000.0,6027000000.0,18505000000.0,33554000000.0,27527000000.0,-181000000.0,800000000.0,619000000.0,22092340000.0,21939000000.0,34277000000.0,27581000000.0,7472000000.0,7431000000.0,2.94,2.95,21939000000.0,21939000000.0,21939000000.0,21939000000.0,21939000000.0,4788000000.0,26727000000.0,-673000000.0,-486000000.0,-17000000.0,,-181000000.0,800000000.0,619000000.0,27581000000.0,15772000000.0,7653000000.0,8119000000.0,43353000000.0,18505000000.0,61858000000.0,61858000000.0,MSFT,,,,17000000.0,-170000000.0,6207000000.0,1912000000.0,1912000000.0,,,,
2023-12-31,-29160000.0,0.18,33556000000.0,-162000000.0,-162000000.0,21870000000.0,5959000000.0,19623000000.0,33394000000.0,27435000000.0,-175000000.0,909000000.0,734000000.0,22002840000.0,21870000000.0,34988000000.0,27032000000.0,7468000000.0,7432000000.0,2.93,2.94,21870000000.0,21870000000.0,21870000000.0,21870000000.0,21870000000.0,4656000000.0,26526000000.0,-331000000.0,-169000000.0,-161000000.0,,-175000000.0,909000000.0,734000000.0,27032000000.0,15365000000.0,7142000000.0,8223000000.0,42397000000.0,19623000000.0,62020000000.0,62020000000.0,MSFT,,,,161000000.0,-1000000.0,6246000000.0,1977000000.0,1977000000.0,,,,
2023-09-30,-20700000.0,0.18,31845000000.0,-115000000.0,-115000000.0,22291000000.0,3921000000.0,16302000000.0,31730000000.0,27809000000.0,641000000.0,525000000.0,1166000000.0,22385300000.0,22291000000.0,29622000000.0,26895000000.0,7462000000.0,7429000000.0,2.99,3.0,22291000000.0,22291000000.0,22291000000.0,22291000000.0,22291000000.0,4993000000.0,27284000000.0,-252000000.0,-137000000.0,,,641000000.0,525000000.0,1166000000.0,26895000000.0,13320000000.0,6659000000.0,6661000000.0,40215000000.0,16302000000.0,56517000000.0,56517000000.0,MSFT,,,,,-115000000.0,5187000000.0,1474000000.0,1474000000.0,,,,
2023-06-30,20855987.382214,0.187892,28972000000.0,111000000.0,111000000.0,20081000000.0,3874000000.0,16795000000.0,29083000000.0,25209000000.0,423000000.0,482000000.0,905000000.0,19990855987.382214,20081000000.0,31935000000.0,24254000000.0,7467000000.0,7434000000.0,2.69,2.7,20081000000.0,20081000000.0,20081000000.0,20081000000.0,20081000000.0,4646000000.0,24727000000.0,50000000.0,-61000000.0,,,423000000.0,482000000.0,905000000.0,24254000000.0,15140000000.0,6739000000.0,8401000000.0,39394000000.0,16795000000.0,56189000000.0,56189000000.0,MSFT,,,,,141000000.0,6204000000.0,2197000000.0,2197000000.0,,,,
2023-03-31,30780000.0,0.19,26556000000.0,162000000.0,162000000.0,18299000000.0,3549000000.0,16128000000.0,26718000000.0,23169000000.0,252000000.0,496000000.0,748000000.0,18167780000.0,18299000000.0,30505000000.0,22352000000.0,7464000000.0,7441000000.0,2.45,2.46,18299000000.0,18299000000.0,18299000000.0,18299000000.0,18299000000.0,4374000000.0,22673000000.0,69000000.0,-93000000.0,0.0,,252000000.0,496000000.0,748000000.0,22352000000.0,14377000000.0,6984000000.0,7393000000.0,36729000000.0,16128000000.0,52857000000.0,52857000000.0,MSFT,,,,0.0,162000000.0,5750000000.0,1643000000.0,1643000000.0,,,,
2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4000000.0,,,,,,,,,,,,,MSFT,,,,4000000.0,,,,,,,,
2024-03-31,-460792960.024648,0.190018,27736000000.0,-2425000000.0,-2425000000.0,10431000000.0,11684000000.0,115374000000.0,25311000000.0,13627000000.0,349000000.0,644000000.0,993000000.0,12395207039.975351,10431000000.0,128006000000.0,15307000000.0,10670000000.0,10393000000.0,0.98,1.0,10431000000.0,10431000000.0,10431000000.0,10431000000.0,10431000000.0,2467000000.0,12983000000.0,-2673000000.0,-248000000.0,,,349000000.0,644000000.0,993000000.0,15307000000.0,12632000000.0,,12404000000.0,27939000000.0,115374000000.0,143313000000.0,143313000000.0,AMZN,,,,,-2425000000.0,9662000000.0,2742000000.0,2742000000.0,-85000000.0,228000000.0,,
2023-12-31,60407715.914073,0.223732,27949000000.0,270000000.0,270000000.0,10624000000.0,13820000000.0,140686000000.0,28219000000.0,14399000000.0,188000000.0,713000000.0,901000000.0,10414407715.914074,10624000000.0,156752000000.0,13209000000.0,10610000000.0,10356000000.0,1.0,1.03,10624000000.0,10624000000.0,10624000000.0,10624000000.0,10624000000.0,3062000000.0,13686000000.0,289000000.0,19000000.0,,,188000000.0,713000000.0,901000000.0,13209000000.0,16066000000.0,,15912000000.0,29275000000.0,140686000000.0,169961000000.0,169961000000.0,AMZN,,,,,270000000.0,12902000000.0,3010000000.0,3010000000.0,0.0,154000000.0,,
2023-09-30,204700303.552383,0.189187,24044000000.0,1082000000.0,1082000000.0,9879000000.0,12131000000.0,118539000000.0,25126000000.0,12995000000.0,-30000000.0,806000000.0,776000000.0,9001700303.552383,9879000000.0,131895000000.0,11188000000.0,10558000000.0,10322000000.0,0.94,0.96,9879000000.0,9879000000.0,9879000000.0,9879000000.0,9879000000.0,2306000000.0,12189000000.0,1031000000.0,-51000000.0,,,-30000000.0,806000000.0,776000000.0,11188000000.0,13356000000.0,,13112000000.0,24544000000.0,118539000000.0,143083000000.0,143083000000.0,AMZN,,,,,1082000000.0,10551000000.0,2561000000.0,2561000000.0,-4000000.0,244000000.0,,
2023-06-30,10418088.060294,0.106307,19894000000.0,98000000.0,98000000.0,6750000000.0,11589000000.0,112609000000.0,19992000000.0,8403000000.0,-179000000.0,840000000.0,661000000.0,6662418088.060294,6750000000.0,126702000000.0,7681000000.0,10449000000.0,10285000000.0,0.65,0.66,6750000000.0,6750000000.0,6750000000.0,6750000000.0,6750000000.0,804000000.0,7563000000.0,61000000.0,-37000000.0,,,-179000000.0,840000000.0,661000000.0,7681000000.0,14093000000.0,,13947000000.0,21774000000.0,112609000000.0,134383000000.0,134383000000.0,AMZN,,,,,98000000.0,10745000000.0,3202000000.0,3202000000.0,-9000000.0,146000000.0,,
