index,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Current Liabilities,Change In Payables And Accrued Expense,Change In Accrued Expense,Change In Payable,Change In Account Payable,Change In Prepaid Assets,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Gain Loss On Investment Securities,Net Income From Continuing Operations,symbol,Effect Of Exchange Rate Changes,Net Intangibles Purchase And Sale,Sale Of Intangibles,Purchase Of Intangibles,Change In Other Working Capital,Change In Other Current Assets,Asset Impairment Charge,Depreciation,Net Foreign Currency Exchange Gain Loss,Gain Loss On Sale Of PPE,Issuance Of Capital Stock,Common Stock Issuance,Net Short Term Debt Issuance,Short Term Debt Issuance,Net Other Investing Changes,Interest Paid Supplemental Data,Short Term Debt Payments,Sale Of PPE,Amortization Cash Flow,Amortization Of Intangibles
2023-03-31,25644000000.0,-19594000000.0,-1996000000.0,,-2916000000.0,4066000000.0,27129000000.0,21974000000.0,5155000000.0,-25724000000.0,-25724000000.0,-484000000.0,,-3650000000.0,-3650000000.0,-19594000000.0,-19594000000.0,-1996000000.0,-2250000000.0,-2250000000.0,,2319000000.0,2319000000.0,5341000000.0,11385000000.0,-6044000000.0,,,-2916000000.0,-2916000000.0,28560000000.0,28560000000.0,231000000.0,-2132000000.0,-14689000000.0,,-14689000000.0,-14689000000.0,,-741000000.0,17786000000.0,5321000000.0,-1415000000.0,2686000000.0,,,2898000000.0,2898000000.0,,,24160000000.0,AAPL,,,,,,7000000.0,,,,,,,254000000.0,,-106000000.0,1170000000.0,254000000.0,,,
2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAPL,,,,,131000000.0,,,,,,,,,,,703000000.0,-8214000000.0,,,
2022-09-30,,,,495000000.0,,,,,,,,,,,,,,,,,5465000000.0,,,,,,-137000000.0,-137000000.0,,,,,,,,,,,,,,,,,-1861000000.0,-1861000000.0,,,,,,AAPL,,,,,218000000.0,,,,,,,,,,,955000000.0,,,,
2024-03-31,12846000000.0,-15008000000.0,-315000000.0,,-6400000000.0,630000000.0,33284000000.0,42827000000.0,-9255000000.0,-19767000000.0,-19767000000.0,-3171000000.0,,-1273000000.0,-1273000000.0,-15008000000.0,-15008000000.0,-315000000.0,-315000000.0,-315000000.0,,-8734000000.0,-8734000000.0,-2262000000.0,4625000000.0,-6887000000.0,-72000000.0,-72000000.0,-6400000000.0,-6400000000.0,19246000000.0,19246000000.0,223000000.0,83000000.0,-2386000000.0,-1274000000.0,-1112000000.0,-1112000000.0,100000000.0,,2520000000.0,2520000000.0,-66000000.0,3562000000.0,-456000000.0,-456000000.0,3374000000.0,3374000000.0,,,12369000000.0,META,-288000000.0,,,,,-94000000.0,240000000.0,,,,,,,,,121000000.0,,,,
2023-12-31,11739000000.0,-5942000000.0,-307000000.0,0.0,-7665000000.0,4591000000.0,42827000000.0,37900000000.0,4531000000.0,-8401000000.0,-8401000000.0,-2152000000.0,,,,-5942000000.0,-5942000000.0,-307000000.0,-307000000.0,-307000000.0,0.0,-6472000000.0,-6472000000.0,1187000000.0,2359000000.0,-1172000000.0,-64000000.0,-64000000.0,-7592000000.0,-7665000000.0,19404000000.0,19404000000.0,-1271000000.0,663000000.0,320000000.0,-350000000.0,670000000.0,594000000.0,700000000.0,,-2843000000.0,-2843000000.0,133000000.0,3424000000.0,-1161000000.0,-1161000000.0,3172000000.0,3172000000.0,,,14017000000.0,META,396000000.0,,,,,-111000000.0,1090000000.0,,,,,,,,-3000000.0,146000000.0,,73000000.0,,
2023-09-30,13859000000.0,-3569000000.0,-267000000.0,0.0,-6543000000.0,509000000.0,37900000000.0,29804000000.0,8450000000.0,-5875000000.0,-5875000000.0,-2039000000.0,,,,-3569000000.0,-3569000000.0,-267000000.0,-267000000.0,-267000000.0,0.0,-6077000000.0,-6077000000.0,467000000.0,1474000000.0,-1007000000.0,-38000000.0,-38000000.0,-6496000000.0,-6543000000.0,20402000000.0,20402000000.0,-995000000.0,-72000000.0,699000000.0,78000000.0,621000000.0,612000000.0,-908000000.0,,-678000000.0,-678000000.0,74000000.0,3492000000.0,3049000000.0,3049000000.0,2859000000.0,2859000000.0,,,11583000000.0,META,-354000000.0,,,,,-36000000.0,340000000.0,,,,,,,,-10000000.0,120000000.0,,47000000.0,,
2023-06-30,11074000000.0,-898000000.0,-220000000.0,,-6235000000.0,1102000000.0,29804000000.0,12420000000.0,17398000000.0,5292000000.0,5292000000.0,-2045000000.0,,,,-898000000.0,-898000000.0,8235000000.0,8235000000.0,-220000000.0,,-5203000000.0,-5203000000.0,1099000000.0,1817000000.0,-718000000.0,-83000000.0,-83000000.0,-6134000000.0,-6235000000.0,17309000000.0,17309000000.0,3531000000.0,-151000000.0,5123000000.0,5530000000.0,-407000000.0,-51000000.0,-54000000.0,,-1424000000.0,-1424000000.0,211000000.0,4060000000.0,-1137000000.0,-1137000000.0,2623000000.0,2623000000.0,,,7789000000.0,META,-14000000.0,,,,,37000000.0,232000000.0,,,,,,,,-85000000.0,0.0,,82000000.0,,
2023-03-31,7175000000.0,-9365000000.0,-264000000.0,,-6823000000.0,405000000.0,12420000000.0,15596000000.0,-3261000000.0,-10516000000.0,-10516000000.0,-887000000.0,,0.0,0.0,-9365000000.0,-9365000000.0,-264000000.0,-264000000.0,-264000000.0,,-6743000000.0,-6743000000.0,449000000.0,534000000.0,-85000000.0,-444000000.0,-444000000.0,-6823000000.0,-6823000000.0,13998000000.0,13998000000.0,2571000000.0,184000000.0,-1010000000.0,94000000.0,-1104000000.0,-1104000000.0,821000000.0,,2546000000.0,2546000000.0,-7000000.0,3051000000.0,-620000000.0,-620000000.0,2524000000.0,2524000000.0,,,5709000000.0,META,85000000.0,,,,,30000000.0,770000000.0,,,,,,,,75000000.0,182000000.0,,19000000.0,,
2022-12-31,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,META,,,,,,,,,,,,,,,2000000.0,,,55000000.0,,
2022-09-30,,,,9921000000.0,,,,,,,,,,,,,,,,,9921000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,META,,,,,-7000000.0,,,,,,,,-191000000.0,,,,,,,
2024-03-31,16836000000.0,-15696000000.0,-3079000000.0,1982000000.0,-12012000000.0,,24493000000.0,24048000000.0,570000000.0,-19714000000.0,-19714000000.0,8000000.0,-2929000000.0,,,-15696000000.0,-15696000000.0,-1097000000.0,-1097000000.0,-3079000000.0,1982000000.0,-8564000000.0,-8564000000.0,3408000000.0,25298000000.0,-21890000000.0,-61000000.0,-61000000.0,-12012000000.0,-12012000000.0,28848000000.0,28848000000.0,-2463000000.0,,-7500000000.0,-5376000000.0,-2124000000.0,-2124000000.0,,,3167000000.0,3167000000.0,334000000.0,5264000000.0,419000000.0,419000000.0,3413000000.0,3413000000.0,-1781000000.0,-1781000000.0,23662000000.0,GOOG,-125000000.0,,,,2870000000.0,-1000000000.0,,3413000000.0,,,,,,,101000000.0,,,,,
2023-12-31,7896000000.0,-16191000000.0,-1929000000.0,1492000000.0,-11019000000.0,,24048000000.0,30702000000.0,-6560000000.0,-19308000000.0,-19308000000.0,0.0,-2680000000.0,,,-16191000000.0,-16191000000.0,-437000000.0,-437000000.0,-1929000000.0,1492000000.0,-6167000000.0,-6167000000.0,4947000000.0,34234000000.0,-29287000000.0,-29000000.0,-29000000.0,-11019000000.0,-11019000000.0,18915000000.0,18915000000.0,-10271000000.0,,5541000000.0,5114000000.0,427000000.0,427000000.0,,,-6518000000.0,-6518000000.0,3418000000.0,5659000000.0,-1670000000.0,-1670000000.0,1563000000.0,1563000000.0,-471000000.0,-471000000.0,20687000000.0,GOOG,-94000000.0,,,,-10034000000.0,740000000.0,,1936000000.0,,,,,,,-66000000.0,,,,,
2023-09-30,22601000000.0,-15787000000.0,-1414000000.0,1248000000.0,-8055000000.0,,30702000000.0,25929000000.0,5124000000.0,-18382000000.0,-18382000000.0,3000000.0,-2432000000.0,,,-15787000000.0,-15787000000.0,-166000000.0,-166000000.0,-1414000000.0,1248000000.0,-7150000000.0,-7150000000.0,1659000000.0,16155000000.0,-14496000000.0,-126000000.0,-126000000.0,-8055000000.0,-8055000000.0,30656000000.0,30656000000.0,2117000000.0,,3983000000.0,3760000000.0,223000000.0,223000000.0,,,-2821000000.0,-2821000000.0,262000000.0,5743000000.0,-1824000000.0,-1824000000.0,3800000000.0,3800000000.0,869000000.0,869000000.0,19689000000.0,GOOG,-351000000.0,,,,2579000000.0,-1624000000.0,,3671000000.0,,,,,,,-628000000.0,,,,129000000.0,129000000.0
2023-06-30,21778000000.0,-14969000000.0,-1255000000.0,1123000000.0,-6888000000.0,,25929000000.0,25924000000.0,31000000.0,-17835000000.0,-17835000000.0,2000000.0,-2736000000.0,,,-14969000000.0,-14969000000.0,-132000000.0,-132000000.0,-1255000000.0,1123000000.0,-10800000000.0,-10800000000.0,-3382000000.0,18867000000.0,-22249000000.0,-298000000.0,-298000000.0,-6888000000.0,-6888000000.0,28666000000.0,28666000000.0,2936000000.0,,1762000000.0,643000000.0,1119000000.0,1119000000.0,,,-2948000000.0,-2948000000.0,-454000000.0,5774000000.0,-2415000000.0,-2415000000.0,3948000000.0,3948000000.0,509000000.0,509000000.0,18368000000.0,GOOG,-26000000.0,,,,4635000000.0,-513000000.0,,3704000000.0,,,,,,,-232000000.0,,,,118000000.0,118000000.0
2023-03-31,17220000000.0,-14557000000.0,-6952000000.0,6927000000.0,-6289000000.0,,25924000000.0,21879000000.0,3995000000.0,-16568000000.0,-16568000000.0,3000000.0,-1989000000.0,,,-14557000000.0,-14557000000.0,-25000000.0,-25000000.0,-6952000000.0,6927000000.0,-2946000000.0,-2946000000.0,3510000000.0,18363000000.0,-14853000000.0,-42000000.0,-42000000.0,-6289000000.0,-6289000000.0,23509000000.0,23509000000.0,1373000000.0,,-6203000000.0,-5098000000.0,-1105000000.0,-1105000000.0,,,4454000000.0,4454000000.0,1104000000.0,5284000000.0,-1854000000.0,-1854000000.0,2635000000.0,2635000000.0,-84000000.0,-84000000.0,15051000000.0,GOOG,50000000.0,,,,3868000000.0,-746000000.0,,2635000000.0,,,,,,,-125000000.0,,,,126000000.0,126000000.0
2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOG,,,,,,,,,,,,,,,,,,,136000000.0,136000000.0
2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOG,,,,,,,,,,,,,,,,,,,113000000.0,113000000.0
