index,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Current Liabilities,Change In Payables And Accrued Expense,Change In Accrued Expense,Change In Payable,Change In Account Payable,Change In Prepaid Assets,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Gain Loss On Investment Securities,Net Income From Continuing Operations,symbol,Effect Of Exchange Rate Changes,Net Intangibles Purchase And Sale,Sale Of Intangibles,Purchase Of Intangibles,Change In Other Working Capital,Change In Other Current Assets,Asset Impairment Charge,Depreciation,Net Foreign Currency Exchange Gain Loss,Gain Loss On Sale Of PPE,Issuance Of Capital Stock,Common Stock Issuance,Net Short Term Debt Issuance,Short Term Debt Issuance,Net Other Investing Changes,Interest Paid Supplemental Data,Short Term Debt Payments,Sale Of PPE,Amortization Cash Flow,Amortization Of Intangibles
2023-06-30,1005000000.0,,-357000000.0,,-2060000000.0,,15879000000.0,16770000000.0,-797000000.0,-328000000.0,-328000000.0,-34000000.0,63000000.0,,,,,-357000000.0,-357000000.0,-357000000.0,,-3534000000.0,-3534000000.0,-1398000000.0,3677000000.0,-5075000000.0,,,-2060000000.0,-2060000000.0,3065000000.0,3065000000.0,-1156000000.0,1004000000.0,-469000000.0,,,,732000000.0,-576000000.0,-472000000.0,-472000000.0,44000000.0,445000000.0,,,1154000000.0,1154000000.0,-258000000.0,,2614000000.0,TSLA,-94000000.0,0.0,,0.0,571000000.0,-2566000000.0,167000000.0,1154000000.0,-258000000.0,,,,,,,,,,,
2023-03-31,440000000.0,,-408000000.0,0.0,-2073000000.0,,16770000000.0,16924000000.0,-204000000.0,-233000000.0,-233000000.0,-56000000.0,231000000.0,,,,,-408000000.0,-408000000.0,-408000000.0,0.0,-2484000000.0,-2484000000.0,-411000000.0,1604000000.0,-2015000000.0,,,-2073000000.0,-2073000000.0,2513000000.0,2513000000.0,-1475000000.0,620000000.0,1403000000.0,,,,-737000000.0,-1540000000.0,-32000000.0,-32000000.0,15000000.0,418000000.0,-55000000.0,-55000000.0,1046000000.0,1046000000.0,-25000000.0,,2539000000.0,TSLA,50000000.0,0.0,,0.0,106000000.0,-675000000.0,50000000.0,1046000000.0,-25000000.0,,,,,,,,,,,
2022-12-31,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,888000000.0,,,,,,,,,,,,,,,,,,TSLA,,0.0,0.0,0.0,,,,989000000.0,,34000000.0,,,,,,,,,,
2022-09-30,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,515000000.0,,,,,,,,,,,,,,,,,,TSLA,,,0.0,,,,,956000000.0,,0.0,,,,,,,,,,
2024-03-31,20965000000.0,-4213000000.0,-11589000000.0,6352000000.0,-10952000000.0,,19634000000.0,17305000000.0,2409000000.0,-18808000000.0,-18808000000.0,-498000000.0,,-5572000000.0,-5572000000.0,-3691000000.0,-4213000000.0,-9047000000.0,-5237000000.0,-11589000000.0,6352000000.0,-10700000000.0,-10700000000.0,3108000000.0,5291000000.0,-2183000000.0,-1575000000.0,-1575000000.0,-10952000000.0,-10952000000.0,31917000000.0,31917000000.0,2522000000.0,2851000000.0,648000000.0,,648000000.0,648000000.0,,260000000.0,-2028000000.0,-2028000000.0,,2703000000.0,-1323000000.0,-1323000000.0,6027000000.0,6027000000.0,49000000.0,,21939000000.0,MSFT,-80000000.0,,,,1977000000.0,-1186000000.0,,6027000000.0,,,522000000.0,522000000.0,-3810000000.0,,-1281000000.0,,,,,
2023-12-31,9118000000.0,-4000000000.0,-2916000000.0,10773000000.0,-9735000000.0,,17305000000.0,80452000000.0,-63219000000.0,-10147000000.0,-10147000000.0,-201000000.0,,-5574000000.0,-5574000000.0,-3739000000.0,-4000000000.0,-633000000.0,7857000000.0,-2916000000.0,10773000000.0,-71925000000.0,-71925000000.0,1492000000.0,5750000000.0,-4258000000.0,-65029000000.0,-65029000000.0,-9735000000.0,-9735000000.0,18853000000.0,18853000000.0,-10300000000.0,1492000000.0,-2521000000.0,,-2521000000.0,-2521000000.0,,1474000000.0,-2951000000.0,-2951000000.0,,2828000000.0,-1702000000.0,-1702000000.0,5959000000.0,5959000000.0,198000000.0,,21870000000.0,MSFT,72000000.0,,,,-7092000000.0,-702000000.0,,5959000000.0,,,261000000.0,261000000.0,-8490000000.0,,1347000000.0,,,,,
2023-09-30,20666000000.0,-4831000000.0,-1500000000.0,25765000000.0,-9917000000.0,,80452000000.0,34704000000.0,45847000000.0,14761000000.0,14761000000.0,-307000000.0,,-5051000000.0,-5051000000.0,-4146000000.0,-4831000000.0,24265000000.0,5573000000.0,-1500000000.0,7073000000.0,503000000.0,503000000.0,12588000000.0,21048000000.0,-8460000000.0,-1186000000.0,-1186000000.0,-9917000000.0,-9917000000.0,30583000000.0,30583000000.0,2418000000.0,-3815000000.0,1214000000.0,,1214000000.0,1214000000.0,,-505000000.0,11034000000.0,11034000000.0,,2507000000.0,-568000000.0,-568000000.0,3921000000.0,3921000000.0,14000000.0,,22291000000.0,MSFT,-99000000.0,,,,-2701000000.0,-2809000000.0,,,,,685000000.0,685000000.0,18692000000.0,18692000000.0,-982000000.0,,,,,
2023-06-30,19827000000.0,-5704000000.0,-1000000000.0,,-8943000000.0,,34704000000.0,26562000000.0,8223000000.0,-11413000000.0,-11413000000.0,-167000000.0,,-5054000000.0,-5054000000.0,-5192000000.0,-5704000000.0,-1000000000.0,-1000000000.0,-1000000000.0,,-9134000000.0,-9134000000.0,419000000.0,12395000000.0,-11976000000.0,-341000000.0,-341000000.0,-8943000000.0,-8943000000.0,28770000000.0,28770000000.0,4243000000.0,2864000000.0,1311000000.0,,1311000000.0,1311000000.0,,374000000.0,-11244000000.0,-11244000000.0,,2416000000.0,-1888000000.0,-1888000000.0,3874000000.0,3874000000.0,44000000.0,,20081000000.0,MSFT,-81000000.0,,,,14905000000.0,-3967000000.0,,3874000000.0,,,512000000.0,512000000.0,,,-269000000.0,,,,,
2023-03-31,17834000000.0,-5509000000.0,0.0,0.0,-6607000000.0,,26562000000.0,15646000000.0,10887000000.0,-10290000000.0,-10290000000.0,-258000000.0,,-5059000000.0,-5059000000.0,-4973000000.0,-5509000000.0,0.0,0.0,0.0,0.0,-3264000000.0,-3264000000.0,5330000000.0,14393000000.0,-9063000000.0,-301000000.0,-301000000.0,-6607000000.0,-6607000000.0,24441000000.0,24441000000.0,1843000000.0,1721000000.0,-407000000.0,,-407000000.0,-407000000.0,,106000000.0,-1408000000.0,-1408000000.0,,2465000000.0,-1675000000.0,-1675000000.0,3549000000.0,3549000000.0,-40000000.0,,18299000000.0,MSFT,29000000.0,,,,1233000000.0,598000000.0,,3549000000.0,,,536000000.0,536000000.0,0.0,,-1686000000.0,,,,,
2022-12-31,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSFT,,,,,,,,3648000000.0,,,,,0.0,,,,,,,
