uuid,title,publisher,link,providerPublishTime,type,relatedTickers,thumbnail,symbol
29c92e28-b5ab-392e-8f22-ae525864f9e8,"Tesla Holds Support Amid EV Woes; BYD Unveils 1,300-Mile EVs",Investor's Business Daily,https://finance.yahoo.com/m/29c92e28-b5ab-392e-8f22-ae525864f9e8/tesla-holds-support-amid-ev.html,1717416058,STORY,"[""TSLA"", ""BYDDY""]","{""resolutions"": [{""url"": ""https://s.yimg.com/uu/api/res/1.2/GxYZ_.p.0mzU7GzGgR__Ig--~B/aD01OTk7dz0xMDYwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/ffe02f92487d82820aa031bc7989ce34"", ""width"": 1060, ""height"": 599, ""tag"": ""original""}, {""url"": ""https://s.yimg.com/uu/api/res/1.2/yT_vk8ue0o1AFBTr8uXiIg--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/ffe02f92487d82820aa031bc7989ce34"", ""width"": 140, ""height"": 140, ""tag"": ""140x140""}]}",TSLA
c09f0bf0-5dc5-3b19-bbe4-ade6d4cacb8a,NIO Stock Rises on Delivery Record. EV Sales Continue to Recover.,Barrons.com,https://finance.yahoo.com/m/c09f0bf0-5dc5-3b19-bbe4-ade6d4cacb8a/nio-stock-rises-on-delivery.html,1717415820,STORY,"[""LI"", ""XPEV"", ""TSLA""]","{""resolutions"": [{""url"": ""https://s.yimg.com/uu/api/res/1.2/uRu8VRm403ez_0KVdKUz8Q--~B/aD02NDA7dz0xMjgwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/Barrons.com/39f2aa512fd41f7faf4fcc47d9966d45"", ""width"": 1280, ""height"": 640, ""tag"": ""original""}, {""url"": ""https://s.yimg.com/uu/api/res/1.2/6EAeOstADRqePxwq7zTgew--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/Barrons.com/39f2aa512fd41f7faf4fcc47d9966d45"", ""width"": 140, ""height"": 140, ""tag"": ""140x140""}]}",TSLA
2b3c000b-d5bd-3570-95b3-d2e666b031c4,Tesla’s Still a Popular Employer,Barrons.com,https://finance.yahoo.com/m/2b3c000b-d5bd-3570-95b3-d2e666b031c4/tesla%E2%80%99s-still-a-popular.html,1717414620,STORY,"[""TSLA""]","{""resolutions"": [{""url"": ""https://s.yimg.com/uu/api/res/1.2/IgVBeYfMMUdx2sWkAnDuCw--~B/aD02NDA7dz0xMjgwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/Barrons.com/629eeffaddf0bfc5efa2850993aea562"", ""width"": 1280, ""height"": 640, ""tag"": ""original""}, {""url"": ""https://s.yimg.com/uu/api/res/1.2/XZcnA5Sgr7IUkYHIpBCpZQ--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/Barrons.com/629eeffaddf0bfc5efa2850993aea562"", ""width"": 140, ""height"": 140, ""tag"": ""140x140""}]}",TSLA
fbbce947-fe17-3747-8642-c4ff1ceaeb8e,BYD Stock Soars on Strong Deliveries. Results Show a Tough Trend for Tesla.,Barrons.com,https://finance.yahoo.com/m/fbbce947-fe17-3747-8642-c4ff1ceaeb8e/byd-stock-soars-on-strong.html,1717414140,STORY,"[""TSLA""]","{""resolutions"": [{""url"": ""https://s.yimg.com/uu/api/res/1.2/UcforIsnfdEX8JeOrkJk7w--~B/aD02NDA7dz0xMjgwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/Barrons.com/115332a508a3bff4f104f9de3ff52309"", ""width"": 1280, ""height"": 640, ""tag"": ""original""}, {""url"": ""https://s.yimg.com/uu/api/res/1.2/DCTfuQUEh688PaFgCRE.Tw--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/Barrons.com/115332a508a3bff4f104f9de3ff52309"", ""width"": 140, ""height"": 140, ""tag"": ""140x140""}]}",TSLA
4cffad4b-a132-320e-949b-313c34575792,2 Incredibly Cheap Electric Vehicle (EV) Stocks to Buy Now,Motley Fool,https://finance.yahoo.com/m/4cffad4b-a132-320e-949b-313c34575792/2-incredibly-cheap-electric.html,1717412340,STORY,"[""RIVN"", ""TSLA""]","{""resolutions"": [{""url"": ""https://s.yimg.com/uu/api/res/1.2/fJh6SQXLR2nqS90eir1anA--~B/aD00NzM7dz03MjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/motleyfool.com/b0b53a8e038a540f2bf493577e851cf3"", ""width"": 720, ""height"": 473, ""tag"": ""original""}, {""url"": ""https://s.yimg.com/uu/api/res/1.2/R6XfktBqIQk0QFQb5rzQNQ--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/b0b53a8e038a540f2bf493577e851cf3"", ""width"": 140, ""height"": 140, ""tag"": ""140x140""}]}",TSLA
44345a50-8506-30b2-90cd-82e00fa3a259,"Social Buzz: Wallstreetbets Stocks Mostly Higher Premarket Monday; GameStop, AMC Entertainment to Open Higher",MT Newswires,https://finance.yahoo.com/news/social-buzz-wallstreetbets-stocks-mostly-104412271.html,1717411452,STORY,"[""GME"", ""AMC"", ""AMD"", ""NVDA"", ""TSLA"", ""BB""]",NaN,TSLA
8e1cb1fb-302a-3fe8-9dbd-78d1f200810b,Is Alphabet a Buy?,Motley Fool,https://finance.yahoo.com/m/8e1cb1fb-302a-3fe8-9dbd-78d1f200810b/is-alphabet-a-buy%3F.html,1717417800,STORY,"[""GOOG"", ""MSFT""]","{""resolutions"": [{""url"": ""https://s.yimg.com/uu/api/res/1.2/ttwb4MsyL863aSjFeS1dvA--~B/aD0xMDIxO3c9MTQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/motleyfool.com/ba45078dfe23ac877e1899dbab85d805"", ""width"": 1400, ""height"": 1021, ""tag"": ""original""}, {""url"": ""https://s.yimg.com/uu/api/res/1.2/hzeNqlr22oAztNApOnJkyg--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/ba45078dfe23ac877e1899dbab85d805"", ""width"": 140, ""height"": 140, ""tag"": ""140x140""}]}",MSFT
18c7ff00-ab11-3761-ab83-bfb30d3d323c,"Microsoft to Invest $3.2 Billion in AI, Cloud Infrastructure in Sweden",MT Newswires,https://finance.yahoo.com/news/microsoft-invest-3-2-billion-114257672.html,1717414977,STORY,"[""MSFT""]",NaN,MSFT
d37f4548-0463-3474-935f-53995b81249c,"Exclusive-Arm aims to capture 50% of PC market in five years, CEO says",Reuters,https://finance.yahoo.com/news/exclusive-arm-aims-capture-50-113956586.html,1717414796,STORY,"[""MSFT""]","{""resolutions"": [{""url"": ""https://s.yimg.com/uu/api/res/1.2/I_MkwzSzbhfr1GZU.0HiLg--~B/aD01MzQ7dz04MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/reuters-finance.com/bdbc24aa83f2d66ac96f061978bba74f"", ""width"": 800, ""height"": 534, ""tag"": ""original""}, {""url"": ""https://s.yimg.com/uu/api/res/1.2/Jl2QJ8q8eocs9TcugdmGOw--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/reuters-finance.com/bdbc24aa83f2d66ac96f061978bba74f"", ""width"": 140, ""height"": 140, ""tag"": ""140x140""}]}",MSFT
b8c8c94e-2864-3b69-b313-bd1084a256a8,Nvidia leads global market cap gainers in May with AI-driven rally,Reuters,https://finance.yahoo.com/news/nvidia-leads-global-market-cap-113039818.html,1717414239,STORY,"[""NVDA"", ""MSFT""]","{""resolutions"": [{""url"": ""https://s.yimg.com/uu/api/res/1.2/W5lXyBc7g2S.qZomFCicbg--~B/aD01MzM7dz04MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/reuters-finance.com/d723ed2a41baa1f17f2c042cd0876d39"", ""width"": 800, ""height"": 533, ""tag"": ""original""}, {""url"": ""https://s.yimg.com/uu/api/res/1.2/D.oQpWb6GJ9h_dvWWXEBoA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/reuters-finance.com/d723ed2a41baa1f17f2c042cd0876d39"", ""width"": 140, ""height"": 140, ""tag"": ""140x140""}]}",MSFT
